#ID	VF39e502A	VF39e502B	VF39Wt	VF39Solid	swarm/solid	VF39e502A/VF-WT
2513713495	15	14	61	41	1	0.2
2513713887	175	132	709	399	2	0.2
2513709962	90	92	382	185	2	0.2
2513710367	35	65	149	91	2	0.2
2513714291	33	35	145	151	1	0.2
2513707839	16	76	69	95	1	0.2
2513710574	17	64	73	43	2	0.2
2513707328	19	22	99	72	1	0.2
2513714294	21	23	112	82	1	0.2
2513714293	10	11	52	36	1	0.2
2513714292	15	15	84	61	1	0.2
2513710714	24	30	143	173	1	0.2
2513707665	81	72	656	1305	1	0.1
2513707666	96	79	838	1292	1	0.1
2513714453	17	22	154	104	1	0.1
2513714464	84	98	784	330	2	0.1
2513714465	16	20	160	42	4	0.1
2513714452	93	134	1571	750	2	0.1
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
